YouTuber,Inhalt,Anzahl der Views bis Mai 2021 (in Milliarden)
"Pinkfong Kids' Songs & Stories","Baby Shark Dance",8.58
"Luis Fonsi ft. Daddy Yankee","Despacito",7.35
"LooLoo Kids","Johny Johny Yes Papa",5.31
"Ed Sheeran","Shape of You",5.31
"Wiz Khalifa ft. Charlie Puth","See You Again",5.1
"Get Movies","Masha and the Bear: Recipe for Disaster",4.44
"Mark Ronson ft. Bruno Mars","Uptown Funk",4.18
"Psy","Gangnam Style",4.06
"Miroshka TV","Learning Colors - Colorful Eggs on a Farm",4.05
"Cocomelon","Bath Song",4.03
