Region,Code,Jahr,Population
India,IND,1800,200733034
India,IND,1801,201128850
India,IND,1802,201525446
India,IND,1803,201922822
India,IND,1804,202320984
India,IND,1805,202719931
India,IND,1806,203119662
India,IND,1807,203520184
India,IND,1808,203921496
India,IND,1809,204323597
India,IND,1810,204741058
India,IND,1811,205163165
India,IND,1812,205604563
India,IND,1813,206065360
India,IND,1814,206545666
India,IND,1815,207045590
India,IND,1816,207565243
India,IND,1817,208104734
India,IND,1818,208664175
India,IND,1819,209243678
India,IND,1820,209843353
India,IND,1821,210266730
India,IND,1822,210691245
India,IND,1823,211540283
India,IND,1824,212392741
India,IND,1825,213248635
India,IND,1826,214107978
India,IND,1827,214970784
India,IND,1828,215837067
India,IND,1829,216706839
India,IND,1830,217580116
India,IND,1831,218456911
India,IND,1832,219337238
India,IND,1833,220221111
India,IND,1834,221108547
India,IND,1835,221999558
India,IND,1836,222894160
India,IND,1837,223792367
India,IND,1838,224694193
India,IND,1839,225599654
India,IND,1840,226508764
India,IND,1841,227421537
India,IND,1842,228337989
India,IND,1843,229258134
India,IND,1844,230181987
India,IND,1845,231109563
India,IND,1846,232040877
India,IND,1847,232975944
India,IND,1848,233914779
India,IND,1849,234833664
India,IND,1850,235732435
India,IND,1851,236722812
India,IND,1852,237693556
India,IND,1853,238644470
India,IND,1854,239599135
India,IND,1855,240557565
India,IND,1856,241519775
India,IND,1857,242485780
India,IND,1858,243455595
India,IND,1859,244429232
India,IND,1860,245406706
India,IND,1861,246388032
India,IND,1862,247373226
India,IND,1863,248362301
India,IND,1864,249355276
India,IND,1865,250352166
India,IND,1866,251352986
India,IND,1867,252357751
India,IND,1868,253366477
India,IND,1869,254283265
India,IND,1870,255107500
India,IND,1871,255838563
India,IND,1872,256475832
India,IND,1873,257018683
India,IND,1874,257562626
India,IND,1875,258107664
India,IND,1876,258653799
India,IND,1877,259201033
India,IND,1878,259749368
India,IND,1879,260650638
India,IND,1880,261908874
India,IND,1881,263528141
India,IND,1882,265512544
India,IND,1883,267866225
India,IND,1884,270240712
India,IND,1885,272636189
India,IND,1886,275052841
India,IND,1887,277490853
India,IND,1888,279950415
India,IND,1889,282052078
India,IND,1890,283791657
India,IND,1891,285164933
India,IND,1892,286167644
India,IND,1893,286795490
India,IND,1894,287424652
India,IND,1895,288055133
India,IND,1896,288686934
India,IND,1897,289320059
India,IND,1898,289954511
India,IND,1899,290840108
India,IND,1900,291979136
India,IND,1901,293373897
India,IND,1902,295026710
India,IND,1903,296939909
India,IND,1904,298865451
India,IND,1905,300803415
India,IND,1906,302753881
India,IND,1907,304716930
India,IND,1908,306692643
India,IND,1909,308378771
India,IND,1910,309772810
India,IND,1911,310872238
India,IND,1912,311674516
India,IND,1913,312177087
India,IND,1914,312680404
India,IND,1915,313184465
India,IND,1916,313689273
India,IND,1917,314194829
India,IND,1918,314556958
India,IND,1919,315455236
India,IND,1920,316895450
India,IND,1921,318883445
India,IND,1922,321425121
India,IND,1923,324526435
India,IND,1924,327657673
India,IND,1925,330819124
India,IND,1926,334011077
India,IND,1927,337233829
India,IND,1928,340487677
India,IND,1929,344079020
India,IND,1930,348015421
India,IND,1931,352304571
India,IND,1932,356954300
India,IND,1933,361972574
India,IND,1934,367061397
India,IND,1935,372221763
India,IND,1936,377454675
India,IND,1937,382761156
India,IND,1938,388142237
India,IND,1939,391883882
India,IND,1940,393975786
India,IND,1941,394407406
India,IND,1942,393167957
India,IND,1943,390246408
India,IND,1944,387346568
India,IND,1945,384468277
India,IND,1946,381611373
India,IND,1947,378775698
India,IND,1948,375961095
India,IND,1949,375136619
India,IND,1950,376325200
India,IND,1951,382376945
India,IND,1952,388799076
India,IND,1953,395544365
India,IND,1954,402578594
India,IND,1955,409880606
India,IND,1956,417442811
India,IND,1957,425270709
India,IND,1958,433380978
India,IND,1959,441798571
India,IND,1960,450547675
India,IND,1961,459642166
India,IND,1962,469077191
India,IND,1963,478825602
India,IND,1964,488848139
India,IND,1965,499123328
India,IND,1966,509631509
India,IND,1967,520400577
India,IND,1968,531513834
India,IND,1969,543084333
India,IND,1970,555189797
India,IND,1971,567868021
India,IND,1972,581087255
India,IND,1973,594770136
India,IND,1974,608802595
India,IND,1975,623102900
India,IND,1976,637630085
India,IND,1977,652408766
India,IND,1978,667499815
India,IND,1979,682995348
India,IND,1980,698952837
India,IND,1981,715384997
India,IND,1982,732239498
India,IND,1983,749428958
India,IND,1984,766833411
India,IND,1985,784360012
India,IND,1986,801975250
India,IND,1987,819682095
India,IND,1988,837468938
India,IND,1989,855334675
India,IND,1990,873277799
India,IND,1991,891273202
India,IND,1992,909307018
India,IND,1993,927403866
India,IND,1994,945601828
India,IND,1995,963922586
India,IND,1996,982365248
India,IND,1997,1000900028
India,IND,1998,1019483586
India,IND,1999,1038058154
India,IND,2000,1056575548
India,IND,2001,1075000094
India,IND,2002,1093317187
India,IND,2003,1111523146
India,IND,2004,1129623466
India,IND,2005,1147609924
India,IND,2006,1165486291
India,IND,2007,1183209471
India,IND,2008,1200669762
India,IND,2009,1217726217
India,IND,2010,1234281163
India,IND,2011,1250287939
India,IND,2012,1265780243
India,IND,2013,1280842119
India,IND,2014,1295600768
India,IND,2015,1310152392
India,IND,2016,1324517250
India,IND,2017,1338676779
India,IND,2018,1352642283
India,IND,2019,1366417756
India,IND,2020,1380004385
India,IND,2021,1393409033
