Region,Code,Jahr,Population
World,OWID_WRL,1800,984741151
World,OWID_WRL,1801,987628322
World,OWID_WRL,1802,991098738
World,OWID_WRL,1803,994610260
World,OWID_WRL,1804,998163240
World,OWID_WRL,1805,1001758044
World,OWID_WRL,1806,1005395067
World,OWID_WRL,1807,1009074742
World,OWID_WRL,1808,1012797513
World,OWID_WRL,1809,1016563866
World,OWID_WRL,1810,1022630197
World,OWID_WRL,1811,1027487469
World,OWID_WRL,1812,1033631136
World,OWID_WRL,1813,1040443689
World,OWID_WRL,1814,1047427292
World,OWID_WRL,1815,1054586106
World,OWID_WRL,1816,1061924513
World,OWID_WRL,1817,1069447070
World,OWID_WRL,1818,1077158552
World,OWID_WRL,1819,1084757875
World,OWID_WRL,1820,1092947422
World,OWID_WRL,1821,1099331577
World,OWID_WRL,1822,1106253783
World,OWID_WRL,1823,1113514792
World,OWID_WRL,1824,1120876169
World,OWID_WRL,1825,1128342960
World,OWID_WRL,1826,1135961188
World,OWID_WRL,1827,1143684846
World,OWID_WRL,1828,1151515422
World,OWID_WRL,1829,1158898384
World,OWID_WRL,1830,1166619859
World,OWID_WRL,1831,1172266726
World,OWID_WRL,1832,1178216298
World,OWID_WRL,1833,1183674995
World,OWID_WRL,1834,1189194865
World,OWID_WRL,1835,1194777021
World,OWID_WRL,1836,1200422586
World,OWID_WRL,1837,1206132721
World,OWID_WRL,1838,1211908617
World,OWID_WRL,1839,1217612799
World,OWID_WRL,1840,1224118692
World,OWID_WRL,1841,1228821489
World,OWID_WRL,1842,1234333753
World,OWID_WRL,1843,1239786237
World,OWID_WRL,1844,1245319917
World,OWID_WRL,1845,1250936428
World,OWID_WRL,1846,1256637463
World,OWID_WRL,1847,1262424720
World,OWID_WRL,1848,1268300005
World,OWID_WRL,1849,1273394934
World,OWID_WRL,1850,1278698170
World,OWID_WRL,1851,1281044111
World,OWID_WRL,1852,1283605123
World,OWID_WRL,1853,1285405357
World,OWID_WRL,1854,1287317863
World,OWID_WRL,1855,1289344086
World,OWID_WRL,1856,1291485555
World,OWID_WRL,1857,1293743896
World,OWID_WRL,1858,1296120810
World,OWID_WRL,1859,1298874784
World,OWID_WRL,1860,1303155263
World,OWID_WRL,1861,1305490771
World,OWID_WRL,1862,1309347024
World,OWID_WRL,1863,1313556287
World,OWID_WRL,1864,1317850567
World,OWID_WRL,1865,1322223328
World,OWID_WRL,1866,1326674072
World,OWID_WRL,1867,1331210602
World,OWID_WRL,1868,1335831902
World,OWID_WRL,1869,1341040002
World,OWID_WRL,1870,1348154272
World,OWID_WRL,1871,1353185947
World,OWID_WRL,1872,1360191149
World,OWID_WRL,1873,1367778454
World,OWID_WRL,1874,1375441175
World,OWID_WRL,1875,1383207445
World,OWID_WRL,1876,1391057502
World,OWID_WRL,1877,1398962396
World,OWID_WRL,1878,1406939006
World,OWID_WRL,1879,1415456507
World,OWID_WRL,1880,1425998653
World,OWID_WRL,1881,1434253944
World,OWID_WRL,1882,1444559322
World,OWID_WRL,1883,1455464560
World,OWID_WRL,1884,1466507494
World,OWID_WRL,1885,1477744363
World,OWID_WRL,1886,1489095893
World,OWID_WRL,1887,1500609770
World,OWID_WRL,1888,1512259811
World,OWID_WRL,1889,1523683199
World,OWID_WRL,1890,1536461987
World,OWID_WRL,1891,1545852788
World,OWID_WRL,1892,1556562451
World,OWID_WRL,1893,1567026235
World,OWID_WRL,1894,1577633469
World,OWID_WRL,1895,1588397643
World,OWID_WRL,1896,1599255683
World,OWID_WRL,1897,1610265238
World,OWID_WRL,1898,1621405678
World,OWID_WRL,1899,1633219852
World,OWID_WRL,1900,1647405022
World,OWID_WRL,1901,1658785643
World,OWID_WRL,1902,1672564382
World,OWID_WRL,1903,1687012805
World,OWID_WRL,1904,1701647404
World,OWID_WRL,1905,1716473051
World,OWID_WRL,1906,1731494784
World,OWID_WRL,1907,1746736854
World,OWID_WRL,1908,1762200207
World,OWID_WRL,1909,1777067748
World,OWID_WRL,1910,1793323592
World,OWID_WRL,1911,1804920684
World,OWID_WRL,1912,1817990952
World,OWID_WRL,1913,1830461187
World,OWID_WRL,1914,1843131589
World,OWID_WRL,1915,1855949027
World,OWID_WRL,1916,1868851504
World,OWID_WRL,1917,1881853176
World,OWID_WRL,1918,1895037042
World,OWID_WRL,1919,1909044309
World,OWID_WRL,1920,1926217425
World,OWID_WRL,1921,1939587826
World,OWID_WRL,1922,1955971631
World,OWID_WRL,1923,1973057174
World,OWID_WRL,1924,1990416385
World,OWID_WRL,1925,2008052088
World,OWID_WRL,1926,2025945381
World,OWID_WRL,1927,2044097070
World,OWID_WRL,1928,2062543972
World,OWID_WRL,1929,2081683468
World,OWID_WRL,1930,2104067378
World,OWID_WRL,1931,2122176586
World,OWID_WRL,1932,2143517525
World,OWID_WRL,1933,2165540428
World,OWID_WRL,1934,2187836793
World,OWID_WRL,1935,2210412972
World,OWID_WRL,1936,2233367401
World,OWID_WRL,1937,2256671866
World,OWID_WRL,1938,2280342907
World,OWID_WRL,1939,2303096438
World,OWID_WRL,1940,2327357739
World,OWID_WRL,1941,2344788534
World,OWID_WRL,1942,2363887111
World,OWID_WRL,1943,2381758939
World,OWID_WRL,1944,2399659920
World,OWID_WRL,1945,2417413700
World,OWID_WRL,1946,2435048602
World,OWID_WRL,1947,2454045831
World,OWID_WRL,1948,2474648090
